Train Losses,Val Losses,Train Accs,Val Accs
0.5390285456371409,0.22722761344874012,0.8643328765416719,0.9072781655034895
0.19093355387022298,0.22780127430395972,0.9225115236078236,0.8933200398803589
0.15358834799555002,0.21742594834873946,0.9380839666126822,0.9042871385842473
0.11102450351549054,0.24714036354217547,0.9577675345708234,0.9032901296111665
0.09238211875562131,0.23261555755958482,0.9649931481250779,0.9002991026919243
0.07704679656811397,0.2509147901745403,0.9715958639591379,0.9122632103688934
0.060390850203976144,0.5183974215064424,0.9763298866326149,0.86839481555334
0.07498089135086698,0.25683836201400845,0.9722187616793323,0.9142572283150548
0.04390053194880827,0.3989551828901171,0.9850504547153357,0.8993020937188435
0.04386865524093036,0.3148096257287745,0.9826834433785973,0.9212362911266201
