Train Losses,Val Losses,Train Accs,Val Accs
0.7678441900949751,0.5857256941519611,0.5541298118848885,0.7028913260219342
0.5562512567335276,0.4002504587351741,0.7186993895602342,0.8315054835493519
0.4138456699343834,0.3340045227070273,0.810016195340725,0.8494516450648056
0.35038237680425915,0.2832677486173415,0.8518749221377849,0.8783649052841476
0.30876072075055994,0.27628390911450296,0.8706864332876542,0.8873379860418744
0.28191837527519653,0.2797846324957261,0.883144387691541,0.8813559322033898
0.254311660546227,0.2680156367012891,0.8965989784477388,0.8813559322033898
0.2337395694936155,0.2864670951368802,0.9010838420331382,0.8783649052841476
0.21215272786252834,0.27656084199548364,0.9114239441883643,0.8843469591226321
0.1794279336825364,0.29910622748099674,0.9248785349445621,0.8773678963110668
